pdb	n_contact	contact_fraction	pae_contact_ag	pae_noncontact_ag	pae_cdr_ag	ratio_contact_noncontact
7y3o	8	0.4705882352941176	23.431121117060947	23.59015464673474	23.515315338652954	0.9932584787147292
7yds	5	0.4166666666666667	17.8349059960781	17.6360439433283	17.71890313197405	1.0112758878005081
7yv1	4	0.3076923076923077	22.141227813867424	21.442445746226817	21.657455613193157	1.0325887296584892
7z1x	10	0.8333333333333334	19.897740931585044	15.939067369297996	19.237962004537202	1.2483629355825603
7zau	4	0.2352941176470588	26.82162008325012	26.852541812192598	26.845266111264955	0.9988484617523828
7zoz	7	0.4666666666666667	20.366034308297294	18.776760004043577	19.518421346028646	1.084640497290878
8a44	12	0.75	21.903185447599565	20.19081911210721	21.475093863726475	1.0848091563786806
8acf	5	0.4545454545454545	3.9257826177106385	3.1010265752025274	3.475915685433487	1.2659622620145545
8aci	5	0.4545454545454545	3.7793188393115997	2.915676330382697	3.3082411071685622	1.2962065781888572
8aok	8	0.4	14.625754293696634	13.69182472735986	14.065396553894569	1.0682107450930582
8aom	7	0.5833333333333334	7.111772488901224	8.493731478353341	7.687588734506273	0.8372966000898306
8apy	8	0.5714285714285714	3.882628677120688	3.997467316833197	3.9318452369974777	0.9712721504366209
8b17	13	0.7647058823529411	4.277262494768601	4.170055432026244	4.252037303535105	1.0257087860077354
8b18	13	0.7647058823529411	4.272321338572641	4.16768847098636	4.2477018403170455	1.0251057314659406
8b19	12	0.7058823529411765	4.351165927544578	4.020465634297373	4.253901135413047	1.0822542270790978
8b1a	13	0.7647058823529411	4.281546989571778	4.173043235244349	4.256016694435912	1.026001109552625
8b1d	12	0.7058823529411765	4.351962306359831	4.024403547923475	4.255621495055021	1.0813931193866906
8b1e	12	0.7058823529411765	4.350698447511625	4.025813743703381	4.255144122862141	1.0807003812127134
8b1f	13	0.7647058823529411	4.281318438352018	4.173264964721155	4.255894091615345	1.0258918315861316
8b1g	12	0.7058823529411765	4.349249816720607	4.02480266347957	4.2538241834144195	1.0806119406014658
8b7h	5	0.2941176470588235	18.212945917490366	15.380371601194948	16.213481694223013	1.1841681325875992
8be2	6	0.5454545454545454	8.366391988865251	8.283790646629503	8.328845924212638	1.009971442514588
8bec	7	0.5833333333333334	23.335515492794617	23.04019585835565	23.212465645111713	1.0128175835072977
8bg2	5	0.3846153846153846	23.89157513040335	24.039391170511593	23.982538847393037	0.9938510905263872
8bg3	7	0.5833333333333334	24.005527296615522	23.933413600422323	23.97547992320169	1.0030130969780227
8bg4	6	0.5454545454545454	22.56061538468059	22.89455384083283	22.71240559202252	0.985414065787268
8bg5	6	0.5	19.129914085479946	18.954802412347696	19.04235824891382	1.0092383802966036
8bk2	5	0.5555555555555556	4.443318187039007	3.76173295724121	4.140391418239986	1.1811891587056353
8byu	5	0.3571428571428571	21.964747020614194	22.984792506359668	22.620490547164856	0.9556208529851536
8c3k	3	0.6	12.685111106766595	13.426416655381521	12.981633326212565	0.9447875358226874
8c5h	2	0.2	6.704349600202669	8.187774387074679	7.891089429700278	0.8188244183652932
8cbf	5	0.4545454545454545	25.30245451686358	24.77606899088079	25.015335139054788	1.0212457240967698
8d9y	9	0.45	12.902483660411212	10.247834213277235	11.442426464487525	1.2590449251896147
8d9z	8	0.4	3.4194669176769605	4.915563722743707	4.3171250007170086	0.6956408482419847
8da0	9	0.45	7.306119662064773	9.989986014199424	8.78224615573883	0.7313443333834606
8ee2	9	0.6428571428571429	3.763928709267033	4.083686008469644	3.8781277446965365	0.921698852815954
8eln	7	0.5384615384615384	5.173051506831185	5.539387751193273	5.342129773459841	0.9338670154868336
8elq	11	0.55	24.09583410282725	24.69114550145904	24.363724232211556	0.9758896808332926
8et0	7	0.5833333333333334	17.5190295083429	17.254043486843937	17.408618666051666	1.0153579085216178
8ezk	6	0.4	27.22369186453117	26.901996114765335	27.03067441467167	1.0119580624572788
8ezl	12	0.5	18.767840911041606	20.261122127825562	19.514481519433584	0.9262981977324365
8ezm	5	0.4166666666666667	29.29351850674476	28.412671970522172	28.77969136061492	1.0310018901825375
8f5i	4	0.2666666666666666	4.938489009882067	6.3399700311037686	5.966241758777982	0.7789451662474645
8f6v	9	0.45	25.081866955991416	25.516128623198046	25.32071087295506	0.9829808951969375
