pdb	seed	DockQ_HA	iRMSD_HA	fnat_HA	iptm	ranking_score	ha_iptm	avg_plddt	gpde
7y3o	101	0.1009676699374901	7.5922857171483695	0.088235294117647	0.5921899080276489	0.6142281889915466	0.19806018471717834	88.59115600585938	0.5588890314102173
7y3o	102	0.0214440343116209	16.728630539441973	0.0	0.5872892141342163	0.6098244190216064	0.18824522197246552	87.82642364501953	0.5935567617416382
7y3o	103	0.1944789500089733	5.610707197254011	0.2058823529411764	0.7018884420394897	0.7181317210197449	0.5068556666374207	90.37026977539062	0.4523979127407074
7y3o	104	0.1714996927471709	6.12138538805464	0.2058823529411764	0.7132630944252014	0.7288857102394104	0.5241446495056152	90.70105743408203	0.4426431953907013
7y3o	105	0.0180596378193474	16.678701611442182	0.0	0.6510855555534363	0.6698490381240845	0.34723424911499023	90.46188354492188	0.4725953936576843
7yds	101	0.0424993200959265	11.545412768263564	0.0	0.7241660952568054	0.7394823431968689	0.3517360985279083	91.35890197753906	0.4556988775730133
7yds	102	0.3283379615077917	3.6302858316841338	0.2647058823529412	0.7784432172775269	0.7895565032958984	0.48849767446517944	91.90873718261719	0.4189574122428894
7yds	103	0.2958847875345031	4.074082846686683	0.2941176470588235	0.7622321248054504	0.7744362354278564	0.45163699984550476	91.55001068115234	0.4283257722854614
7yds	104	0.2860454945566348	3.929891893292836	0.2352941176470588	0.7861883044242859	0.7963010668754578	0.5152565240859985	91.81159973144531	0.4095616042613983
7yds	105	0.3093173805288456	3.992730847116172	0.2941176470588235	0.7679501175880432	0.7796914577484131	0.4617732763290405	91.4718017578125	0.42331185936927795
7yv1	101	0.0663318270840147	12.211287302406133	0.1	0.6521528959274292	0.6732374429702759	0.2623094618320465	89.35450744628906	0.5046085119247437
7yv1	102	0.0467709943896571	11.710513738728528	0.0333333333333333	0.6510754227638245	0.6717852354049683	0.2679120600223541	88.6142349243164	0.5217667818069458
7yv1	103	0.0209565053714343	13.224630855533208	0.0	0.6523358225822449	0.6729001402854919	0.26461777091026306	89.3274917602539	0.5047847032546997
7yv1	104	0.2901344692357701	4.038543292686061	0.3333333333333333	0.6545326709747314	0.6756371855735779	0.2796740233898163	89.66905212402344	0.49401429295539856
7yv1	105	0.0170812516851071	14.056448070507392	0.0	0.6588918566703796	0.6795313358306885	0.2831781804561615	89.71141052246094	0.49115726351737976
7z1x	101	0.0110464133560453	12.148004428727328	0.0	0.492780864238739	0.5501176118850708	0.492780864238739	82.92375183105469	0.6590008735656738
7z1x	102				0.7188961505889893	0.7336846590042114	0.7188961505889893	85.77529907226562	0.49557632207870483
7z1x	103				0.6990572810173035	0.7171515822410583	0.6990572810173035	86.4733657836914	0.4926864206790924
7z1x	104				0.6276302337646484	0.6511397361755371	0.6276302337646484	84.7259521484375	0.5640058517456055
7z1x	105				0.8490796089172363	0.8521146774291992	0.8490796089172363	87.47406005859375	0.4645810127258301
7zau	101				0.20181813836097717	0.3187456727027893	0.20181813836097717	88.77466583251953	0.5955728888511658
7zau	102				0.1921345442533493	0.3103310465812683	0.1921345442533493	88.57250213623047	0.5963650941848755
7zau	103				0.21551986038684845	0.3307309150695801	0.21551986038684845	88.7531967163086	0.5904343724250793
7zau	104				0.20244577527046204	0.3188267946243286	0.20244577527046204	88.8590316772461	0.5931095480918884
7zau	105				0.2116788923740387	0.3260256052017212	0.2116788923740387	88.47112274169922	0.5910682082176208
7zoz	101	0.0647011838859015	11.459686353108436	0.0606060606060606	0.7029750347137451	0.7196123003959656	0.3176578879356384	89.8602294921875	0.4649655520915985
7zoz	102	0.4380266985237942	3.1497340375962586	0.5757575757575758	0.6999984979629517	0.7170190215110779	0.3067796528339386	89.92410278320312	0.4736303687095642
7zoz	103	0.3774171535354196	3.4523770467583064	0.4848484848484848	0.7008825540542603	0.7179211974143982	0.30820539593696594	89.84980010986328	0.4743775427341461
7zoz	104	0.3570319973063078	3.5601930380798716	0.4848484848484848	0.7011508345603943	0.7181368470191956	0.3119233250617981	89.85665893554688	0.47515180706977844
7zoz	105	0.1191544892788437	9.238117393787766	0.1818181818181818	0.7102624177932739	0.7266933917999268	0.32740944623947144	89.98417663574219	0.4628649055957794
8a44	101	0.0045920497723295	17.922862086283097	0.0	0.5794739723205566	0.6009833216667175	0.3544088304042816	88.3517837524414	0.4984128475189209
8a44	102	0.0047206289442645	17.747221045165052	0.0	0.5803274512290955	0.6020129919052124	0.33074453473091125	87.98587799072266	0.5020191073417664
8a44	103	0.0043763484953956	18.399727150337934	0.0	0.5191039443016052	0.5449662208557129	0.22224369645118713	87.86553955078125	0.5378019213676453
8a44	104	0.0049815938052537	17.38165315345219	0.0	0.7207607626914978	0.733485221862793	0.5777311325073242	89.29349517822266	0.4283249080181122
8a44	105	0.0199678548723278	8.34020416681483	0.0	0.5247888565063477	0.5506266951560974	0.2696399390697479	87.64602661132812	0.5374793410301208
8acf	101	0.641006673030699	1.0154702902688149	0.7551020408163265	0.909033477306366	0.9109835028648376	0.8996803760528564	94.58006286621094	0.3383861780166626
8acf	102	0.660144130315971	0.9674730891747726	0.8367346938775511	0.7975835800170898	0.8073705434799194	0.6500996351242065	92.41432189941406	0.40877586603164673
8acf	103	0.6488586208333068	0.9360496205103512	0.7959183673469388	0.8055492639541626	0.8153213262557983	0.6504899263381958	92.48448944091797	0.40330204367637634
8acf	104	0.6279523542537019	1.0391474952712374	0.7755102040816326	0.9153264164924622	0.9166797399520874	0.9156118631362915	94.4898452758789	0.3364674150943756
8acf	105	0.621730488604508	1.073314717639883	0.7959183673469388	0.9117307066917419	0.913652241230011	0.9027926921844482	94.58551788330078	0.3383423089981079
8aci	101	0.7079502187978374	0.69524580581823	0.8297872340425532	0.9095198512077332	0.9110512137413025	0.9092934727668762	94.34529876708984	0.3384213447570801
8aci	102	0.6909649606655864	0.7828549681689612	0.851063829787234	0.9093241691589355	0.9110376238822937	0.9061282873153687	94.39373779296875	0.3390747904777527
8aci	103	0.7037440174311951	0.8061168647452159	0.8297872340425532	0.9106003642082214	0.9119278192520142	0.9048765301704407	94.30049133300781	0.3403295874595642
8aci	104	0.69297408068599	0.8716535546874712	0.8085106382978723	0.9130896329879761	0.9146037101745605	0.9112921357154846	94.3396987915039	0.3396987318992615
8aci	105	0.7025043295023102	0.7295008979689191	0.8297872340425532	0.904330313205719	0.9063302874565125	0.8977535963058472	94.42533111572266	0.3407013714313507
8aok	101	0.516397731344501	2.323753143603911	0.5769230769230769	0.4601761996746063	0.5110565423965454	0.4601761996746063	89.38011169433594	0.4853813052177429
8aok	102	0.0428787265057703	12.988993656057534	0.0	0.3520365357398987	0.4101078510284424	0.3520365357398987	88.78167724609375	0.5592906475067139
8aok	103	0.5697429607873813	2.2614171206389777	0.6346153846153846	0.4572570323944092	0.5090774297714233	0.4572570323944092	89.55310821533203	0.4990050196647644
8aok	104	0.584035731457239	2.194821104755392	0.6346153846153846	0.5008316040039062	0.5478737950325012	0.5008316040039062	89.56877899169922	0.49171632528305054
8aok	105	0.042226657085527	13.043553874953025	0.0	0.3394854664802551	0.39928776025772095	0.3394854664802551	88.77046203613281	0.5669919848442078
8aom	101	0.7377484467818954	1.2548679512244283	0.7954545454545454	0.8858180642127991	0.8849540948867798	0.8858180642127991	91.91105651855469	0.36030685901641846
8aom	102	0.3663835088363502	3.1340013384928964	0.5	0.8638122081756592	0.8650916814804077	0.8638122081756592	91.93683624267578	0.3638535737991333
8aom	103	0.7617388813924025	1.1387077226529532	0.8181818181818182	0.8900678157806396	0.8884496688842773	0.8900678157806396	91.94867706298828	0.3605882227420807
8aom	104	0.6851325254447659	1.6118556880694936	0.7727272727272727	0.866357684135437	0.8673396706581116	0.866357684135437	91.93557739257812	0.3644293248653412
8aom	105	0.8220436673904818	0.9588048849821352	0.8409090909090909	0.8658990263938904	0.8672443628311157	0.8658990263938904	92.09070587158203	0.36138805747032166
8apy	101	0.8975239484284563	0.645138714717912	0.868421052631579	0.9040825963020325	0.9073834419250488	0.9040825963020325	93.61880493164062	0.34506756067276
8apy	102	0.8981997728174017	0.6088059679965989	0.8552631578947368	0.9056254029273987	0.9087523818016052	0.9056254029273987	93.70919799804688	0.34404733777046204
8apy	103	0.9047611704685564	0.6046783747666654	0.868421052631579	0.904429018497467	0.9076632261276245	0.904429018497467	93.62274932861328	0.3449813723564148
8apy	104	0.8846127725941192	0.6881512691420545	0.8552631578947368	0.903803825378418	0.9072273969650269	0.903803825378418	93.66099548339844	0.3446025252342224
8apy	105	0.8989290486119305	0.6432367220722576	0.868421052631579	0.9030866026878357	0.9064435958862305	0.9030866026878357	93.58660125732422	0.34542232751846313
8b17	101	0.8981950680748533	0.5466425672063878	0.9113924050632912	0.929887592792511	0.9300260543823242	0.929887592792511	89.22000122070312	0.39650651812553406
