pdb	cv_cdr_h3	cv_iptm	mean_cdr_h3_rmsd	mean_iptm	mean_dockq_ha	variance_ratio
7y3o	0.4889975345442693	0.0850071677921734	2.2705200000000003	0.658440089225769	0.02987216510470958	5.752427086381429
7yds	0.11335196201028414	0.03501718045698758	5.34728	0.7909834384918213	0.5028686873733523	3.2370385202634173
7yv1	0.11125119937224673	0.09449651785396247	3.17388	0.8091408967971802	0.07503674961222913	1.1773047504689793
7z1x	0.3244301252404446	0.30148569401232983	3.8519599999999996	0.6268950164318084	0.0200176433769472	1.0761045438765544
7zau	0.019230517211775683	0.17890464745246712	2.80734	0.2279720902442932		0.10749031668886638
7zoz	0.3773752331364043	0.057298688151753784	3.0598	0.7127035856246948	0.17411105750496633	6.586105987923106
8a44	0.09526601257763695	0.0754275013510952	5.39756	0.5802171111106873	0.00893200875380836	1.2630142967907514
8acf	0.14884069801362634	0.024146333569948896	2.21834	0.6654406666755677	0.034658455583487256	6.164111730770783
8aci	0.08486683821042053	0.03257078526483404	2.4119	0.6892656564712525	0.03256819689792554	2.6056122847627314
8aok	0.030036988749577553	0.17111430637712352	4.91122	0.6925331592559815	0.13250697719458587	0.17553756541769341
8aom	0.11567942667519711	0.014765042401449498	2.2062	0.9128495335578919	0.7224696041719326	7.834682998529063
8apy	0.23330136569906942	0.005234991654120987	1.10328	0.9140271544456482	0.8470183848831117	44.565756951191034
8b17	0.44650313814494663	0.024331813965116047	0.8983599999999999	0.923136293888092	0.7814543565850969	18.350589840325416
8b18	0.4198128107718451	0.024331813965116047	0.9201599999999999	0.923136293888092	0.787803530814261	17.253658579410516
8b19	0.44331635088942095	0.024331813965116047	0.9068400000000001	0.923136293888092	0.7843176588677221	18.219617802642798
8b1a	0.4355873902540844	0.024331813965116047	0.9193200000000001	0.923136293888092	0.7755696883515488	17.901969449486003
8b1d	0.43684002769961344	0.024331813965116047	0.9179999999999999	0.923136293888092	0.7928181489416395	17.953450915164023
8b1e	0.4328554993409812	0.024331813965116047	0.9186399999999999	0.923136293888092	0.7754461620641242	17.789692949385362
8b1f	0.4365190455213717	0.024331813965116047	0.90786	0.923136293888092	0.7820756451677406	17.94025904304541
8b1g	0.44368488187147614	0.024331813965116047	0.90342	0.923136293888092	0.7715422392403039	18.234763857210844
8b7h	0.24291087675693798	0.03682493375364068	4.857760000000001	0.7048319697380065	0.27600776671654675	6.596369687506164
8be2	0.09283823940293663	0.16385323037945337	1.50216	0.44962934851646424	0.20980277053024662	0.5665938913010178
8bec	0.09435817115677794	0.2825034907889263	31.91284	0.29202749133110045	0.2346912499114281	0.3340070980831811
8bg2	0.24383098744838916	0.4310730281065706	30.091020000000004	0.3909335076808929		0.5656373086467122
8bg3	0.1235858652213268	0.11267216618816486	30.05294	0.5452160537242889		1.0968624231022224
8bg4	0.148892193549246	0.20504880077550444	31.186879999999995	0.2333504885435104	0.16747464053191213	0.7261305259339657
8bg5	0.13259315806063704	0.19241635017258907	28.082819999999998	0.44022119641304014	0.013073219604713051	0.6890950688011012
8bk2	0.24471310827704332	0.009230248202519435	1.7058799999999998	0.9165479302406311		26.512083197312922
8byu	0.25145376128862607	0.11561108555396647	6.63574	0.5662665367126465	0.02832079998900614	2.174996974414267
8c3k	0.09296506091700302	0.029250871207684236	0.87074	0.8806716084480286	0.779313595751552	3.1781980186826364
8c5h	0.3883008695070526	0.21171629875517148	2.1975000000000002	0.615103030204773	0.255379694700943	1.8340622417364445
8cbf	0.24755863183176346	0.14251414539063417	1.23826	0.7324987053871155	0.02488491049660106	1.737081123794415
8d9y	0.17615436566543552	0.05004096419961255	5.161440000000001	0.8095394492149353	0.0602732809593706	3.520203267122487
8d9z	0.211279502974919	0.06936386647375023	4.84368	0.8015895485877991	0.2252988293147859	3.045959138608208
8da0	0.17282002668382965	0.02664491899908367	4.97808	0.814998733997345		6.486040610210638
8ee2	0.12929311603267662	0.27377014933601784	3.8477399999999995	0.4537787437438965	0.5426583609229533	0.4722688589177992
8eln	0.06470524627695619	0.009740129431819462	0.81882	0.8872936844825745		6.643160825519873
8elq	0.30481719936441026	0.4408892937031923	11.61758	0.36657545566558836	0.01125026912758412	0.6913690210169039
8et0	0.1734288398409743	0.07699004325831857	1.22716	0.5329925119876862		2.2526138770838497
8evd	0.12395283012082131	0.3343259402088424	2.20356	0.6588180184364318		0.37075445011353914
8ezk	0.47486932718547764	0.1032698892464327	24.3744	0.1850018054246902		4.598332879512421
8ezl	0.09298472588624941	0.29431566263275477	47.72804	0.5785598456859589	0.01835253673980814	0.3159353635972652
8ezm	0.02741799552344776	0.2670733723452139	27.085199999999997	0.2006996780633926	0.01650611137842394	0.1026609103059806
8f5i	0.1725218374449906	0.006309491241573661	2.78634	0.914727246761322	0.7244379214158727	27.34322480840177
8f6u	0.04489786902393473	0.4059653690355918	2.3601	0.5800174713134766		0.1105953178484011
8f6v	0.3133591832171568	0.49856529663508	5.00164	0.4565270572900772	0.0078511637907351	0.6285218512641825
8fdo	0.23085209377415533	0.07769356513796966	1.12864	0.7534556746482849	0.1768080960126452	2.9713154926563603
8fxv	0.23751472306761698	0.07250611854970515	3.02952	0.7790408730506897	0.051518497400095196	3.275788689540641
