pdb	seed	DockQ_HA	iRMSD_HA	fnat_HA	LRMSD_HA	DockQ_LA	iRMSD_LA	iptm	ptm	confidence_score	complex_plddt	complex_iplddt
7y3o	1	0.0223135797641921	16.230225021684635	0.0	34.108543861862685	0.0222100366118576	16.51461197836746	0.6873996257781982	0.7675355076789856	0.8711208701133728	0.9170510768890381	0.8769907355308533
7y3o	2	0.0328610222389249	15.267585730557062	0.0	27.1908037026546	0.0331783478336706	14.18521297547549	0.6621389985084534	0.7469178438186646	0.8640972375869751	0.9145867824554443	0.8773866295814514
7y3o	3	0.0278187548325846	13.393078324873253	0.0	30.73078163529586	0.0281604612347136	13.48213337561383	0.7344360947608948	0.7963164448738098	0.8790795207023621	0.9152403473854065	0.8679004311561584
7y3o	4	0.0332613460419342	15.40035231331566	0.0	26.9647226841029	0.0340337094347563	14.525522704857488	0.6047805547714233	0.7109144330024719	0.8509469032287598	0.9124884605407715	0.8684382438659668
7y3o	5	0.0331061226459121	15.145857199411656	0.0	27.093611746479866	0.0337237679202553	14.511840796328736	0.6034451723098755	0.7087824940681458	0.8499280214309692	0.9115486741065979	0.8685334920883179
7yds	1	0.5672675539489723	2.317855807866658	0.5	2.727894607340432	0.6485443082857356	1.4076599627016118	0.7926271557807922	0.8373259902000427	0.9004587531089783	0.9274165630340576	0.9046226739883423
7yds	2	0.5084478881220401	2.454419132668378	0.3529411764705882	2.8258978861544914	0.6106694211648919	1.5779268371630952	0.7601895928382874	0.8147519826889038	0.8931383490562439	0.9263754487037659	0.9030015468597412
7yds	3	0.3948546385526215	3.055932983515768	0.2647058823529412	5.225755609919699	0.4264267781137401	2.2539456383434016	0.8128387928009033	0.8417384028434753	0.8979237675666809	0.9191949963569641	0.8906583189964294
7yds	4	0.4562248781933373	3.0658573022437547	0.3235294117647059	3.542614011803328	0.4820216863252293	2.092356612103866	0.8230341076850891	0.8554174900054932	0.9054275751113892	0.926025927066803	0.9023765325546265
7yds	5	0.5875484780497902	2.297609718091101	0.5294117647058824	2.2523776946793026	0.6666954029541449	1.3574230885172798	0.7662275433540344	0.816247284412384	0.8962893486022949	0.9288048148155212	0.9044654369354248
7yv1	1	0.1009235331874411	6.776840098476952	0.0	14.488041792573556	0.0966871979447607	6.519720640815234	0.8238878846168518	0.8561546802520752	0.907748818397522	0.9287139773368835	0.9007458686828613
